Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
102791__APHE00XS,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Asphalt Heather XS,EACH,CARHARTT,0,0,S,A,U,192776237633
102791__ASRO000L,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Ash Rose Large,EACH,CARHARTT,0,0,S,I,U,
102791__ASRO000M,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Ash Rose Medium,EACH,CARHARTT,0,0,S,I,U,
102791__ASRO000S,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Ash Rose Small,EACH,CARHARTT,0,0,S,I,U,
102791__ASRO00XL,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Ash Rose XL,EACH,CARHARTT,0,0,S,I,U,
102791__ASRO00XS,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Ash Rose XS,EACH,CARHARTT,0,0,S,I,U,
102791__DKCH000L,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Dark Cedar Heather Large,EACH,CARHARTT,0,0,S,A,U,192776237060
102791__DKCH000M,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Dark Cedar Heather Medium,EACH,CARHARTT,0,0,S,A,U,192776237091
102791__DKCH000S,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Dark Cedar Heather Small,EACH,CARHARTT,0,0,S,A,U,192776237121
102791__DKCH00XL,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Dark Cedar Heather XL,EACH,CARHARTT,0,0,S,A,U,192776237152
102791__DKCH00XS,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Dark Cedar Heather XS,EACH,CARHARTT,0,0,S,A,U,192776237183
102791__RSHE000L,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Rose Smoke Heather Large,EACH,CARHARTT,0,0,S,I,U,192776238050
102791__RSHE000M,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Rose Smoke Heather Medium,EACH,CARHARTT,0,0,S,C,U,192776238081
102791__RSHE000S,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Rose Smoke Heather Small,EACH,CARHARTT,0,0,S,I,U,192776238111
102791__RSHE00XL,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Rose Smoke Heather XL,EACH,CARHARTT,0,0,S,I,U,192776238142
102791__RSHE00XS,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Rose Smoke Heather XS,EACH,CARHARTT,0,0,S,O,U,192776238173
102791__WORO000L,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Woodrose Large,EACH,CARHARTT,0,0,S,N,U,197219330360
102791__WORO000M,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Woodrose Medium,EACH,CARHARTT,0,0,S,N,U,197219330339
102791__WORO000S,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Woodrose Small,EACH,CARHARTT,0,0,S,N,U,197219330308
102791__WORO00XL,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Woodrose XL,EACH,CARHARTT,0,0,S,N,U,197219330391
102791__WORO00XS,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Woodrose XS,EACH,CARHARTT,0,0,S,N,U,197219330278
102807__SUBL3032,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W30xL32,EACH,CARHARTT,3,3,S,A,U,192776310213
102807__SUBL3232,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W32xL32,EACH,CARHARTT,5,5,S,A,U,192776310275
102807__SUBL3432,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W34xL32,EACH,CARHARTT,3,3,S,A,U,192776310336
102807__SUBL3632,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W36xL32,EACH,CARHARTT,4,4,S,A,U,192776310367
102807__SUBL3832,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W38xL32,EACH,CARHARTT,2,2,S,A,U,192776310398
102807__SUBL4032,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W40xL32,EACH,CARHARTT,3,3,S,A,U,192776310428
102807__SUBL4232,,,,WW,CMTO,Jean Tapered Rugged Flex Superior Blue W42xL32,EACH,CARHARTT,2,2,S,A,U,
102821__BLCK3032,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W30xL32,EACH,CARHARTT,1,1,S,A,U,192776057484
102821__BLCK3232,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W32xL32,EACH,CARHARTT,4,4,S,A,U,192776057545
102821__BLCK3432,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W34xL32,EACH,CARHARTT,3,3,S,A,U,192776057606
102821__BLCK3632,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W36xL32,EACH,CARHARTT,3,3,S,A,U,192776057637
102821__BLCK3832,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W38xL32,EACH,CARHARTT,2,2,S,A,U,192776057668
102821__BLCK3834,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W38xL34,EACH,CARHARTT,1,1,S,A,U,192776057965
102821__BLCK4032,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W40xL32,EACH,CARHARTT,2,2,S,A,U,192776057699
102821__BLCK4034,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W40xL34,EACH,CARHARTT,2,2,S,A,U,192776057996
102821__BLCK4232,,,,WW,CMTO,Pant Rugged Flex Straight Fit Black W42xL32,EACH,CARHARTT,1,1,S,A,U,192776057729
102821__DAKH3032,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W30xL32,EACH,CARHARTT,2,2,S,A,U,889192574885
102821__DAKH3232,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W32xL32,EACH,CARHARTT,3,3,S,A,U,889192574946
102821__DAKH3432,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W34xL32,EACH,CARHARTT,3,3,S,A,U,889192575004
102821__DAKH3632,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W36xL32,EACH,CARHARTT,3,3,S,A,U,889192575035
102821__DAKH3832,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W38xL32,EACH,CARHARTT,2,2,S,A,U,889192575066
102821__DAKH3834,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W38xL34,EACH,CARHARTT,2,2,S,A,U,889192575363
102821__DAKH4032,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W40xL32,EACH,CARHARTT,2,2,S,A,U,889192575097
102821__DAKH4034,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W40xL34,EACH,CARHARTT,2,2,S,A,U,889192575394
102821__DAKH4232,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W42xL32,EACH,CARHARTT,1,1,S,A,U,889192575127
102821__DAKH4234,,,,WW,CMTO,Pant Rugged Flex Straight Fit Dark Khaki W42xL34,EACH,CARHARTT,0,0,S,A,U,889192575424
103056__BLCKOSFA,,,,WW,CMHZ,Rugged Professional Series Cap Black One Size Fits All,EACH,CARHARTT,8,8,S,C,U,889192771550
103056__DAKHOSFA,,,,WW,CMHZ,Rugged Professional Series Cap Dark Khaki One Size Fits All,EACH,CARHARTT,8,8,S,A,U,889192809727
103056__NAVYOSFA,,,,WW,CMHZ,Rugged Professional Series Cap Navy One Size Fits All,EACH,CARHARTT,8,8,S,A,U,889192771581
103160__BLCK3032,,,,WW,CMTO,Pant Steel Double Front Black W30xL32,EACH,CARHARTT,2,2,S,A,U,889192922006
103160__BLCK3232,,,,WW,CMTO,Pant Steel Double Front Black W32xL32,EACH,CARHARTT,3,3,S,A,U,889192922068
103160__BLCK3432,,,,WW,CMTO,Pant Steel Double Front Black W34xL32,EACH,CARHARTT,3,3,S,A,U,889192922129
103160__BLCK3632,,,,WW,CMTO,Pant Steel Double Front Black W36xL32,EACH,CARHARTT,3,3,S,A,U,889192922150
103160__BLCK3832,,,,WW,CMTO,Pant Steel Double Front Black W38xL32,EACH,CARHARTT,3,3,S,A,U,889192922181
103160__BLCK4032,,,,WW,CMTO,Pant Steel Double Front Black W40xL32,EACH,CARHARTT,2,2,S,A,U,889192922211
103160__BLCK4232,,,,WW,CMTO,Pant Steel Double Front Black W42xL32,EACH,CARHARTT,2,2,S,A,U,889192922242
103361__BLCK000L,,,,WW,CMEZ,T-Shirt S/S Core Logo Black Large,EACH,CARHARTT,3,3,S,A,U,889192897496
103361__BLCK000M,,,,WW,CMEZ,T-Shirt S/S Core Logo Black Medium,EACH,CARHARTT,3,3,S,A,U,889192897526
103361__BLCK000S,,,,WW,CMEZ,T-Shirt S/S Core Logo Black Small,EACH,CARHARTT,2,2,S,A,U,889192897557
103361__BLCK00XL,,,,WW,CMEZ,T-Shirt S/S Core Logo Black XL,EACH,CARHARTT,3,3,S,A,U,889192897588
103361__BLCK00XS,,,,WW,CMEZ,T-Shirt S/S Core Logo Black XS,EACH,CARHARTT,1,1,S,A,U,889192897618
103361__BLCK02XL,,,,WW,CMEZ,T-Shirt S/S Core Logo Black 2XL,EACH,CARHARTT,2,2,S,A,U,889192897403
103361__ELHE000M,,,,WW,CMEZ,T-Shirt S/S Core Logo Elm Heather Medium,EACH,CARHARTT,0,0,S,C,U,192776918020
103361__ELHE00XS,,,,WW,CMEZ,T-Shirt S/S Core Logo Elm Heather XS,EACH,CARHARTT,0,0,S,C,U,192776918112
103361__FOBE000L,,,,WW,CMEZ,T-Shirt S/S Core Logo Fog Blue Large,EACH,CARHARTT,0,0,S,N,U,197219042058
103361__FOBE000M,,,,WW,CMEZ,T-Shirt S/S Core Logo Fog Blue Medium,EACH,CARHARTT,0,0,S,N,U,197219042034
103361__FOBE000S,,,,WW,CMEZ,T-Shirt S/S Core Logo Fog Blue Small,EACH,CARHARTT,0,0,S,N,U,197219042010
103361__FOBE00XL,,,,WW,CMEZ,T-Shirt S/S Core Logo Fog Blue XL,EACH,CARHARTT,0,0,S,N,U,197219042072
103361__FOBE00XS,,,,WW,CMEZ,T-Shirt S/S Core Logo Fog Blue XS,EACH,CARHARTT,0,0,S,N,U,197219041990
103361__FOBE02XL,,,,WW,CMEZ,T-Shirt S/S Core Logo Fog Blue 2XL,EACH,CARHARTT,0,0,S,N,U,197219042096
103361__HEGR000L,,,,WW,CMEZ,T-Shirt S/S Core Logo Heather Grey Large,EACH,CARHARTT,3,3,S,A,U,889192897977
103361__HEGR000M,,,,WW,CMEZ,T-Shirt S/S Core Logo Heather Grey Medium,EACH,CARHARTT,2,2,S,A,U,889192898004
103361__HEGR000S,,,,WW,CMEZ,T-Shirt S/S Core Logo Heather Grey Small,EACH,CARHARTT,2,2,S,A,U,889192898035
