Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
79246___NAVY000L,,,,WW,CMEZ,Kensington T-Shirt Navy Large,EACH,HELHAN,621,614,S,A,U,7040056396675,438,614,0,24
79246___NAVY000M,,,,WW,CMEZ,Kensington T-Shirt Navy Medium,EACH,HELHAN,567,531,S,A,U,7040056396682,61,531,0,17
79246___NAVY000S,,,,WW,CMEZ,Kensington T-Shirt Navy Small,EACH,HELHAN,252,248,S,A,U,7040056396699,2,248,0,5
79246___NAVY00XL,,,,WW,CMEZ,Kensington T-Shirt Navy XL,EACH,HELHAN,382,378,S,A,U,7040056396712,303,378,0,10
79246___NAVY02XL,,,,WW,CMEZ,Kensington T-Shirt Navy 2XL,EACH,HELHAN,256,252,S,A,U,7040056396644,196,252,0,11
79246___NAVY03XL,,,,WW,CMEZ,Kensington T-Shirt Navy 3XL,EACH,HELHAN,110,108,S,A,U,7040056396651,102,108,0,2
79248___,,,,WW,CMPS,Tech Polo,EACH,HELHAN,0,0,Z,A,U,,0,0,0,0
79248___BLCK000L,,,,WW,CMPS,Tech Polo Black Large,EACH,HELHAN,665,615,S,A,U,7040056762746,8,615,0,112
79248___BLCK000M,,,,WW,CMPS,Tech Polo Black Medium,EACH,HELHAN,471,458,S,A,U,7040056762715,1,458,0,90
79248___BLCK000S,,,,WW,CMPS,Tech Polo Black Small,EACH,HELHAN,218,207,S,A,U,7040056762708,3,207,0,20
79248___BLCK00XL,,,,WW,CMPS,Tech Polo Black XL,EACH,HELHAN,405,385,S,A,U,7040056762692,0,385,0,91
79248___BLCK02XL,,,,WW,CMPS,Tech Polo Black 2XL,EACH,HELHAN,338,318,S,A,U,7040056762661,2,318,0,62
79248___BLCK03XL,,,,WW,CMPS,Tech Polo Black 3XL,EACH,HELHAN,202,198,S,A,U,7040056762678,2,198,0,32
79248___MIGY000L,,,,WW,CMPS,Tech Polo Mid Grey Large,EACH,HELHAN,802,718,S,A,U,7040056762654,4,718,0,128
79248___MIGY000M,,,,WW,CMPS,Tech Polo Mid Grey Medium,EACH,HELHAN,479,429,S,A,U,7040056762623,2,429,0,74
